target_name,repeat,split_seed,model,feature,mean_abs_shap,n_shap_patients
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs3131520_C_0,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs3131520_C_1,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs3131520_C_2,0.018310963978834915,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs55993474_A_0,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs55993474_A_1,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs55993474_A_2,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs2375892_T_0,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs2375892_T_1,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs2375892_T_2,0.01788162990428914,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs10881263_G_0,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs10881263_G_1,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs10881263_G_2,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs11102362_G_0,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs11102362_G_1,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs11102362_G_2,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs16837903_G_0,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs16837903_G_1,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs16837903_G_2,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs11264306_A_0,0.0,247
NON FIBROTIC ILA ADJUDICATED,1,1341832748,genomic,rs11264306_A_1,0.020811394642897545,247
