feature,coef_per_SD,abs_coef
rs35705950.1_G,-0.251682891756698,0.251682891756698
rs16837903_G,0.08044401907465162,0.08044401907465162
rs5743890_T,0.04554801348364595,0.04554801348364595
rs1123573_A,0.037732741209147685,0.037732741209147685
rs4727443_C,-0.014988145866399403,0.014988145866399403
rs3744761_C,0.0011384641755351004,0.0011384641755351004
rs3131520_C,0.0,0.0
rs664034_T,0.0,0.0
rs7122936_A,0.0,0.0
rs61867586_C,0.0,0.0
rs73409602_C,0.0,0.0
rs74760554_C,0.0,0.0
rs12275748_C,0.0,0.0
rs10842996_T,0.0,0.0
rs3750920_C,0.0,0.0
rs10783497_A,0.0,0.0
rs117427783_T,0.0,0.0
rs76739551_C,0.0,0.0
rs78288787_C,0.0,0.0
rs12422371_C,0.0,0.0
rs325093_T,0.0,0.0
rs923077_A,0.0,0.0
rs6491201_C,0.0,0.0
rs5743894_T,0.0,0.0
rs2857476_C,0.0,0.0
rs3829223_C,0.0,0.0
rs11191865_G,0.0,0.0
rs13299670_C,0.0,0.0
rs61829240_G,0.0,0.0
rs1189320_G,0.0,0.0
rs55672765_C,0.0,0.0
rs34547036_C,0.0,0.0
rs10748858_T,0.0,0.0
rs2067832_G,0.0,0.0
rs4918072_G,0.0,0.0
rs17372089_A,0.0,0.0
rs10886437_C,0.0,0.0
rs616768_G,0.0,0.0
rs7942850_T,0.0,0.0
rs7934606_C,0.0,0.0
rs4077759_T,0.0,0.0
rs7952154_C,0.0,0.0
rs34425120_G,0.0,0.0
rs117750427_A,0.0,0.0
rs1278769_G,0.0,0.0
rs9577395_C,0.0,0.0
rs11083093_G,0.0,0.0
rs76475316_T,0.0,0.0
rs893889_G,0.0,0.0
rs12610495_A,0.0,0.0
rs2109069_G,0.0,0.0
rs708686_C,0.0,0.0
rs62112917_C,0.0,0.0
rs73008477_C,0.0,0.0
rs10422762_A,0.0,0.0
rs41482151_C,0.0,0.0
rs12975986_C,0.0,0.0
rs74490361_T,0.0,0.0
rs57625989_A,0.0,0.0
rs302837_A,0.0,0.0
rs601878_C,0.0,0.0
rs4811028_G,0.0,0.0
rs12626788_C,0.0,0.0
rs75764565_C,0.0,0.0
rs66884960_C,0.0,0.0
rs75291377_G,0.0,0.0
rs1851741_G,0.0,0.0
rs918174_T,0.0,0.0
rs17616659_G,0.0,0.0
rs34825924_G,0.0,0.0
rs10518693_C,0.0,0.0
rs2034650_A,0.0,0.0
rs144948432_A,0.0,0.0
rs1496725_A,0.0,0.0
rs12928193_G,0.0,0.0
rs9931202_G,0.0,0.0
rs71389435_C,0.0,0.0
rs6499642_C,0.0,0.0
rs12446021_G,0.0,0.0
rs28703652_G,0.0,0.0
rs169889_A,0.0,0.0
rs17690703_C,0.0,0.0
rs1981997_G,0.0,0.0
rs415430_T,0.0,0.0
rs73997403_C,0.0,0.0
rs7041597_T,0.0,0.0
rs56744128_A,0.0,0.0
rs1923802_T,0.0,0.0
rs56387623_T,0.0,0.0
rs79252367_G,0.0,0.0
rs1479945_C,0.0,0.0
rs1015097_A,0.0,0.0
rs4680134_C,0.0,0.0
rs76160568_A,0.0,0.0
rs10776482_A,0.0,0.0
rs56111559_G,0.0,0.0
rs146764446_A,0.0,0.0
rs2609255_T,0.0,0.0
rs2609260_T,0.0,0.0
rs756345_G,0.0,0.0
rs6532150_G,0.0,0.0
rs144128391_T,0.0,0.0
rs148877274_T,0.0,0.0
rs151036604_T,0.0,0.0
rs1422506_G,0.0,0.0
rs34625679_T,0.0,0.0
rs2361278_T,0.0,0.0
rs1488496_C,0.0,0.0
rs55993474_A,0.0,0.0
rs1669778_T,0.0,0.0
rs2375892_T,0.0,0.0
rs10881263_G,0.0,0.0
rs11102362_G,0.0,0.0
rs11264306_A,0.0,0.0
rs7547997_G,0.0,0.0
rs699240_T,0.0,0.0
rs114064385_G,0.0,0.0
rs55682827_C,0.0,0.0
rs17019820_A,0.0,0.0
rs2577254_T,0.0,0.0
rs12710674_C,0.0,0.0
rs77998999_A,0.0,0.0
rs6736148_C,0.0,0.0
rs4672388_T,0.0,0.0
rs17007563_C,0.0,0.0
rs12713927_G,0.0,0.0
rs11680126_C,0.0,0.0
rs7730878_A,0.0,0.0
rs7725218_G,0.0,0.0
rs2736100_A,0.0,0.0
rs72722911_G,0.0,0.0
rs11154034_T,0.0,0.0
rs76931164_T,0.0,0.0
rs79242376_G,0.0,0.0
rs9397724_G,0.0,0.0
rs35677769_G,0.0,0.0
rs12665063_A,0.0,0.0
rs6970647_T,0.0,0.0
rs2726049_A,0.0,0.0
rs34262641_A,0.0,0.0
rs2353082_C,0.0,0.0
rs62505367_T,0.0,0.0
rs3887876_C,0.0,0.0
rs68170294_G,0.0,0.0
rs74987898_C,0.0,0.0
rs10976897_G,0.0,0.0
rs62530710_G,0.0,0.0
rs10869195_A,0.0,0.0
rs75714781_G,0.0,0.0
rs56184452_G,0.0,0.0
rs3130157_G,0.0,0.0
rs12658068_G,0.0,0.0
rs77144736_C,0.0,0.0
rs62354543_A,0.0,0.0
rs72755986_C,0.0,0.0
rs72762052_C,0.0,0.0
rs116575227_A,0.0,0.0
rs469942_C,0.0,0.0
rs2228972_G,0.0,0.0
rs1423029_A,0.0,0.0
rs2071627_C,0.0,0.0
rs13183751_G,0.0,0.0
rs6899532_G,0.0,0.0
rs10484326_T,0.0,0.0
rs2076295_T,0.0,0.0
rs3778337_G,0.0,0.0
rs4960330_T,0.0,0.0
rs148106529_G,0.0,0.0
rs45619034_G,0.0,0.0
