source_sheet,SNP,CHR,BP,P,Base,Gene
gwas_wgs_prs_7E-4_SNPs,rs35705950,11,1241221,0,1,MUC5B
gwas_wgs_prs_7E-4_SNPs,rs868903,11,1242690,4.59939e-49,1,MUC5B
gwas_wgs_prs_7E-4_SNPs,rs2076295,6,7563232,1.49989e-48,1,DSP
gwas_wgs_prs_7E-4_SNPs,rs3750920,11,1309956,2.1677e-36,1,TOLLIP
gwas_wgs_prs_7E-4_SNPs,rs35743811,11,1308394,1.61933e-34,1,TOLLIP
gwas_wgs_prs_7E-4_SNPs,rs55771420,11,1254990,1.19353e-33,1,MUC5B
gwas_wgs_prs_7E-4_SNPs,rs7725218,5,1282414,4.90175e-32,1,TERT
gwas_wgs_prs_7E-4_SNPs,rs4881748,11,1414580,2.85491e-24,1,BRSK2
gwas_wgs_prs_7E-4_SNPs,rs35678986,11,1642602,1.0728e-22,1,KRTAP5-4
gwas_wgs_prs_7E-4_SNPs,rs2897075,7,99630342,1.77291e-21,1,ZKSCAN1
gwas_wgs_prs_7E-4_SNPs,rs3785884,17,44057595,2.53463e-20,1,MAPT
gwas_wgs_prs_7E-4_SNPs,rs3785884,17,44057595,2.53463e-20,1,AC217779.2
gwas_wgs_prs_7E-4_SNPs,rs2304645,15,40716253,8.65733e-20,1,IVD
gwas_wgs_prs_7E-4_SNPs,rs7943074,11,1068702,1.11858e-19,1,-
gwas_wgs_prs_7E-4_SNPs,rs112431991,17,43758885,1.9114e-19,1,-
gwas_wgs_prs_7E-4_SNPs,rs112431991,17,43758885,1.9114e-19,1,CRHR1
gwas_wgs_prs_7E-4_SNPs,rs74760554,11,1522125,4.48268e-19,1,-
gwas_wgs_prs_7E-4_SNPs,rs2532386,17,44313757,5.38462e-19,1,-
gwas_wgs_prs_7E-4_SNPs,rs9896243,17,44826056,2.49823e-18,1,NSF
gwas_wgs_prs_7E-4_SNPs,rs12537430,7,1868761,4.19875e-18,1,MAD1L1
gwas_wgs_prs_7E-4_SNPs,rs9860874,3,169486271,6.49092e-18,1,ACTRT3
gwas_wgs_prs_7E-4_SNPs,rs2609259,4,89837808,6.4725e-17,1,FAM13A
gwas_wgs_prs_7E-4_SNPs,rs12610495,19,4717672,2.57551e-16,1,DPP9
gwas_wgs_prs_7E-4_SNPs,rs1881510,11,1425910,1.30486e-15,1,BRSK2
gwas_wgs_prs_7E-4_SNPs,rs3800917,7,2167939,1.4423e-15,1,MAD1L1
gwas_wgs_prs_7E-4_SNPs,rs34425120,11,1226592,5.30412e-15,1,-
gwas_wgs_prs_7E-4_SNPs,rs72735627,15,41057507,7.87087e-15,1,GCHFR
gwas_wgs_prs_7E-4_SNPs,rs9577395,13,113534984,4.7786e-14,1,ATP11A
gwas_wgs_prs_7E-4_SNPs,rs138429802,11,871030,1.64779e-13,1,CHID1
gwas_wgs_prs_7E-4_SNPs,rs7222444,17,43507649,1.64786e-13,1,AC003070.1
gwas_wgs_prs_7E-4_SNPs,rs7222444,17,43507649,1.64786e-13,1,ARHGAP27
gwas_wgs_prs_7E-4_SNPs,rs2292181,3,44903434,3.9489e-13,1,TMEM42
gwas_wgs_prs_7E-4_SNPs,rs4963049,11,1236427,1.28265e-12,1,-
gwas_wgs_prs_7E-4_SNPs,rs2853676,5,1288547,1.94124e-12,1,TERT
gwas_wgs_prs_7E-4_SNPs,rs74614704,16,162240,2.56734e-12,1,NPRL3
gwas_wgs_prs_7E-4_SNPs,rs55680540,11,1152019,1.00415e-11,1,MUC5AC
gwas_wgs_prs_7E-4_SNPs,rs12648534,4,89799206,3.8044e-11,1,FAM13A
gwas_wgs_prs_7E-4_SNPs,rs756345,4,90073214,5.54791e-11,1,-
gwas_wgs_prs_7E-4_SNPs,rs10808505,8,120940206,6.0258e-11,1,DEPTOR
gwas_wgs_prs_7E-4_SNPs,rs2075841,11,1214924,8.39593e-11,1,-
gwas_wgs_prs_7E-4_SNPs,rs7100920,10,105640978,1.66726e-10,1,OBFC1
gwas_wgs_prs_7E-4_SNPs,rs11042491,11,1241821,2.02397e-10,1,MUC5B
gwas_wgs_prs_7E-4_SNPs,rs1109746,11,1445235,3.61588e-10,1,BRSK2
gwas_wgs_prs_7E-4_SNPs,rs117833518,11,459461,1.14735e-09,1,PTDSS2
gwas_wgs_prs_7E-4_SNPs,rs11073517,15,86287910,1.35927e-09,1,AKAP13
gwas_wgs_prs_7E-4_SNPs,rs41308092,20,62324391,3.12698e-09,1,RTEL1
gwas_wgs_prs_7E-4_SNPs,rs4924471,15,40744046,3.27013e-09,1,BAHD1
gwas_wgs_prs_7E-4_SNPs,rs4233306,1,214659598,3.41357e-09,1,PTPN14
gwas_wgs_prs_7E-4_SNPs,rs61867586,11,1382060,6.85598e-09,1,-
gwas_wgs_prs_7E-4_SNPs,rs7952154,11,1109183,1.02805e-08,1,MUC2
gwas_wgs_prs_7E-4_SNPs,rs112087793,20,62284170,1.08564e-08,1,STMN3
gwas_wgs_prs_7E-4_SNPs,rs111781708,3,44478843,1.10952e-08,1,ZNF445
gwas_wgs_prs_7E-4_SNPs,rs28647196,15,40833379,1.70165e-08,1,RP11-111A22.1
gwas_wgs_prs_7E-4_SNPs,rs1214759,6,43352980,1.71495e-08,1,-
gwas_wgs_prs_7E-4_SNPs,rs78353932,11,1744139,2.43104e-08,1,-
gwas_wgs_prs_7E-4_SNPs,rs117865496,11,895490,2.7169e-08,1,CHID1
gwas_wgs_prs_7E-4_SNPs,rs79684490,10,111229861,3.51578e-08,1,-
gwas_wgs_prs_7E-4_SNPs,rs75691080,20,62269750,3.72575e-08,1,STMN3
gwas_wgs_prs_7E-4_SNPs,rs11788059,9,109480268,4.84737e-08,1,RP11-308N19.5
gwas_wgs_prs_7E-4_SNPs,rs150476821,5,169366775,5.26558e-08,1,DOCK2
gwas_wgs_prs_7E-4_SNPs,rs145315307,5,168904005,5.28254e-08,1,-
gwas_wgs_prs_7E-4_SNPs,rs708686,19,5840619,9.51974e-08,1,FUT6
gwas_wgs_prs_7E-4_SNPs,rs2806233,6,7571327,1.29726e-07,1,DSP
gwas_wgs_prs_7E-4_SNPs,rs112271207,3,14312002,1.50061e-07,1,RP11-536I6.2
gwas_wgs_prs_7E-4_SNPs,rs770031,1,9169719,1.57864e-07,1,GPR157
gwas_wgs_prs_7E-4_SNPs,rs737052,6,7675370,1.78414e-07,1,-
gwas_wgs_prs_7E-4_SNPs,rs2197025,2,214015305,1.83716e-07,1,IKZF2
gwas_wgs_prs_7E-4_SNPs,rs34547036,10,105637026,1.84403e-07,1,RP11-541N10.3
gwas_wgs_prs_7E-4_SNPs,rs10967305,9,26317104,1.94795e-07,1,-
gwas_wgs_prs_7E-4_SNPs,rs77497298,11,1521393,2.04509e-07,1,-
gwas_wgs_prs_7E-4_SNPs,rs67260163,3,168795941,2.27695e-07,1,-
gwas_wgs_prs_7E-4_SNPs,rs11243169,6,7424510,2.66788e-07,1,-
gwas_wgs_prs_7E-4_SNPs,rs78732951,3,168569300,2.85823e-07,1,-
gwas_wgs_prs_7E-4_SNPs,rs4074344,11,872529,3.04713e-07,1,CHID1
gwas_wgs_prs_7E-4_SNPs,rs16837903,1,150552042,3.10934e-07,1,MCL1
gwas_wgs_prs_7E-4_SNPs,rs62024513,15,85932267,3.4166e-07,1,AKAP13
gwas_wgs_prs_7E-4_SNPs,rs10107636,8,120688930,3.82856e-07,1,ENPP2
gwas_wgs_prs_7E-4_SNPs,rs11655447,17,8136816,3.96182e-07,1,CTC1
gwas_wgs_prs_7E-4_SNPs,rs2609269,4,89882795,4.26917e-07,1,FAM13A
gwas_wgs_prs_7E-4_SNPs,rs147827992,2,239049602,5.18531e-07,1,KLHL30
gwas_wgs_prs_7E-4_SNPs,rs12753958,1,163341983,5.44049e-07,1,-
gwas_wgs_prs_7E-4_SNPs,rs2766537,6,35696886,5.5742e-07,1,FKBP5
gwas_wgs_prs_7E-4_SNPs,rs6062496,20,62329099,5.61359e-07,1,TNFRSF6B
gwas_wgs_prs_7E-4_SNPs,rs2967465,19,37027217,5.90247e-07,1,AC092295.4
gwas_wgs_prs_7E-4_SNPs,rs11264306,1,155043325,6.93191e-07,1,EFNA4
gwas_wgs_prs_7E-4_SNPs,rs56293203,11,1248087,8.17199e-07,1,MUC5B
gwas_wgs_prs_7E-4_SNPs,rs80271279,19,37278306,8.55744e-07,1,-
gwas_wgs_prs_7E-4_SNPs,rs7789055,7,124677543,9.1262e-07,1,POT1-AS1
gwas_wgs_prs_7E-4_SNPs,rs66499584,17,44091780,9.30956e-07,1,MAPT
gwas_wgs_prs_7E-4_SNPs,rs66499584,17,44091780,9.30956e-07,1,AC217779.2
gwas_wgs_prs_7E-4_SNPs,rs1491099,9,109508320,1.00409e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs74558643,16,67704778,1.24863e-06,1,ENKD1
gwas_wgs_prs_7E-4_SNPs,rs62329683,5,1299087,1.35991e-06,1,TERT
gwas_wgs_prs_7E-4_SNPs,rs117962821,18,841958,1.39545e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs11756882,6,7548415,1.51695e-06,1,DSP
gwas_wgs_prs_7E-4_SNPs,rs77639804,7,99734225,1.58486e-06,1,AC073842.19
gwas_wgs_prs_7E-4_SNPs,rs76230685,16,67319752,1.67839e-06,1,PLEKHG4
gwas_wgs_prs_7E-4_SNPs,rs2684631,17,43510650,1.71768e-06,1,AC003070.1
gwas_wgs_prs_7E-4_SNPs,rs2684631,17,43510650,1.71768e-06,1,PLEKHM1
gwas_wgs_prs_7E-4_SNPs,rs4414533,17,43809844,1.78569e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs4414533,17,43809844,1.78569e-06,1,RP11-293E1.2
gwas_wgs_prs_7E-4_SNPs,rs182173256,12,28383676,1.94171e-06,1,CCDC91
gwas_wgs_prs_7E-4_SNPs,rs751709,9,116375523,2.13372e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs73287040,8,89122727,2.23162e-06,1,MMP16
gwas_wgs_prs_7E-4_SNPs,rs6560861,10,994753,2.3778e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs11075664,16,68038763,2.51832e-06,1,DPEP2
gwas_wgs_prs_7E-4_SNPs,rs1123573,2,60707588,2.62378e-06,1,BCL11A
gwas_wgs_prs_7E-4_SNPs,rs73357239,17,72034562,2.78793e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs3808803,9,134471153,2.8407e-06,1,RAPGEF1
gwas_wgs_prs_7E-4_SNPs,rs6899532,6,7543433,2.84164e-06,1,DSP
gwas_wgs_prs_7E-4_SNPs,rs117021012,11,1471095,2.91622e-06,1,BRSK2
gwas_wgs_prs_7E-4_SNPs,rs73409602,11,1471221,2.94278e-06,1,BRSK2
gwas_wgs_prs_7E-4_SNPs,rs6661135,1,150999414,2.98697e-06,1,PRUNE
gwas_wgs_prs_7E-4_SNPs,rs112905364,3,168986452,3.25446e-06,1,MECOM
gwas_wgs_prs_7E-4_SNPs,rs6786378,3,5344246,3.43537e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs7138541,12,102285980,3.65408e-06,1,DRAM1
gwas_wgs_prs_7E-4_SNPs,rs2076294,6,7555666,3.79888e-06,1,DSP
gwas_wgs_prs_7E-4_SNPs,rs117009864,8,4467476,3.97691e-06,1,CSMD1
gwas_wgs_prs_7E-4_SNPs,rs1093985,6,35037839,4.11445e-06,1,ANKS1A
gwas_wgs_prs_7E-4_SNPs,rs757918,2,102613299,4.34644e-06,1,IL1R2
gwas_wgs_prs_7E-4_SNPs,rs149846198,14,80955553,4.77042e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs918174,18,3736629,5.00236e-06,1,DLGAP1
gwas_wgs_prs_7E-4_SNPs,rs147104420,5,1316038,5.27847e-06,1,CLPTM1L
gwas_wgs_prs_7E-4_SNPs,rs692390,15,41486990,5.32387e-06,1,EXD1
gwas_wgs_prs_7E-4_SNPs,rs11770889,7,128730083,5.45464e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs9276610,6,32742095,5.56531e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs12801627,11,79205439,5.56906e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs2848852,7,13757168,5.70406e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs67274834,2,180925353,6.27043e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs11246327,11,840034,6.3113e-06,1,POLR2L
gwas_wgs_prs_7E-4_SNPs,rs299282,5,162899017,6.33757e-06,1,HMMR
gwas_wgs_prs_7E-4_SNPs,rs4941487,13,44799752,6.6848e-06,1,SMIM2-AS1
gwas_wgs_prs_7E-4_SNPs,rs147948015,2,80792908,6.83851e-06,1,CTNNA2
gwas_wgs_prs_7E-4_SNPs,rs71352238,19,45394336,6.99187e-06,1,TOMM40
gwas_wgs_prs_7E-4_SNPs,rs7118568,11,1244080,7.33806e-06,1,MUC5B
gwas_wgs_prs_7E-4_SNPs,rs2191293,7,67614557,7.61191e-06,1,RP5-945F2.3
gwas_wgs_prs_7E-4_SNPs,rs142121833,6,7521461,7.64444e-06,1,RP11-288G3.4
gwas_wgs_prs_7E-4_SNPs,rs4288784,11,113745608,7.66077e-06,1,USP28
gwas_wgs_prs_7E-4_SNPs,15:41122228,15,41122228,7.69041e-06,1,NA
gwas_wgs_prs_7E-4_SNPs,rs7763983,6,100249106,7.80506e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs73043514,7,2040555,7.85061e-06,1,MAD1L1
gwas_wgs_prs_7E-4_SNPs,rs1558952,1,42514599,8.21725e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs140684590,10,17588194,8.64789e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs10735335,12,96263437,8.64912e-06,1,CCDC38
gwas_wgs_prs_7E-4_SNPs,rs2239532,7,124405676,8.71822e-06,1,GPR37
gwas_wgs_prs_7E-4_SNPs,rs9645651,11,1700600,8.83937e-06,1,FAM99B
gwas_wgs_prs_7E-4_SNPs,rs7069694,10,112528629,8.94433e-06,1,RBM20
gwas_wgs_prs_7E-4_SNPs,rs144349132,1,171746660,8.94535e-06,1,METTL13
gwas_wgs_prs_7E-4_SNPs,rs62271731,3,102837577,9.51074e-06,1,-
gwas_wgs_prs_7E-4_SNPs,rs117443977,16,67832238,9.81515e-06,1,RANBP10
gwas_wgs_prs_7E-4_SNPs,rs33050,3,159598803,9.93577e-06,1,SCHIP1
gwas_wgs_prs_7E-4_SNPs,rs118095467,18,13088930,1.01295e-05,1,CEP192
gwas_wgs_prs_7E-4_SNPs,rs74373888,14,29995456,1.05227e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs10417957,19,4647231,1.05255e-05,1,TNFAIP8L1
gwas_wgs_prs_7E-4_SNPs,rs189544495,13,23607116,1.05436e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs61867515,11,1489475,1.08733e-05,1,MOB2
gwas_wgs_prs_7E-4_SNPs,rs7817165,8,144425221,1.0891e-05,1,TOP1MT
gwas_wgs_prs_7E-4_SNPs,rs11585169,1,150572037,1.09949e-05,1,SNORA40
gwas_wgs_prs_7E-4_SNPs,rs17761805,19,52300320,1.12672e-05,1,FPR3
gwas_wgs_prs_7E-4_SNPs,rs62435496,7,1787842,1.16464e-05,1,ELFN1
gwas_wgs_prs_7E-4_SNPs,rs61985815,14,69024387,1.20227e-05,1,RAD51B
gwas_wgs_prs_7E-4_SNPs,rs8088781,18,666625,1.22353e-05,1,TYMS
gwas_wgs_prs_7E-4_SNPs,rs111504402,14,84762847,1.25831e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs13260148,8,3628245,1.27632e-05,1,CSMD1
gwas_wgs_prs_7E-4_SNPs,rs34363858,5,1286477,1.3447e-05,1,TERT
gwas_wgs_prs_7E-4_SNPs,rs112669031,5,108067694,1.37081e-05,1,LINC01023
gwas_wgs_prs_7E-4_SNPs,rs117016554,11,80887729,1.37699e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs73178718,4,43511133,1.42957e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs34433290,18,31379000,1.43234e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs520885,1,93521092,1.45393e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs9651638,11,1641051,1.46604e-05,1,KRTAP5-4
gwas_wgs_prs_7E-4_SNPs,rs10869195,9,71290352,1.4885e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs11811771,1,114463049,1.49211e-05,1,RP5-1073O3.7
gwas_wgs_prs_7E-4_SNPs,rs41401046,11,1082424,1.49432e-05,1,MUC2
gwas_wgs_prs_7E-4_SNPs,rs34957940,7,1865736,1.49556e-05,1,MAD1L1
gwas_wgs_prs_7E-4_SNPs,rs76550018,1,158818706,1.5012e-05,1,MNDA
gwas_wgs_prs_7E-4_SNPs,rs17751003,4,87771621,1.5118e-05,1,SLC10A6
gwas_wgs_prs_7E-4_SNPs,rs78357969,16,67001696,1.51736e-05,1,CES3
gwas_wgs_prs_7E-4_SNPs,rs146071030,3,134673672,1.51848e-05,1,EPHB1
gwas_wgs_prs_7E-4_SNPs,rs2211348,20,40443640,1.58423e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs58689333,4,187564388,1.60369e-05,1,FAT1
gwas_wgs_prs_7E-4_SNPs,rs4267966,6,147272232,1.63018e-05,1,RP11-497D6.5
gwas_wgs_prs_7E-4_SNPs,rs62220340,21,24984014,1.67929e-05,1,-
gwas_wgs_prs_7E-4_SNPs,1:151025885,1,151025885,1.68189e-05,1,NA
gwas_wgs_prs_7E-4_SNPs,rs4743684,9,106852385,1.68528e-05,1,SMC2
gwas_wgs_prs_7E-4_SNPs,9:19053917,9,19053917,1.72089e-05,1,NA
gwas_wgs_prs_7E-4_SNPs,rs12674939,8,126479907,1.72523e-05,1,-
gwas_wgs_prs_7E-4_SNPs,rs17418062,4,87336776,1.78125e-05,1,MAPK10
gwas_wgs_prs_7E-4_SNPs,rs35622755,7,2053223,1.85299e-05,1,MAD1L1
gwas_wgs_prs_7E-4_SNPs,rs187694350,19,53697112,1.89052e-05,1,ZNF665
