feature,coef,abs_coef,nonzero,target_name,repeat,split_seed
rs3131520_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs3131520_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs3131520_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs55993474_A_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs55993474_A_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs55993474_A_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs2375892_T_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs2375892_T_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs2375892_T_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs10881263_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs10881263_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs10881263_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs11102362_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs11102362_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs11102362_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs16837903_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs16837903_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs16837903_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs11264306_A_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs11264306_A_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs11264306_A_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs7547997_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs7547997_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs7547997_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs699240_T_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs699240_T_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs699240_T_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs114064385_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs114064385_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs114064385_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs55682827_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs55682827_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs55682827_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs17019820_A_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs17019820_A_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs17019820_A_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs2577254_T_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs2577254_T_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs2577254_T_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs12710674_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs12710674_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs12710674_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs77998999_A_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs77998999_A_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs77998999_A_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs6736148_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs6736148_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs6736148_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs4672388_T_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs4672388_T_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs4672388_T_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs1123573_A_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs1123573_A_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs1123573_A_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs17007563_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs17007563_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs17007563_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs12713927_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs12713927_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs12713927_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs11680126_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs11680126_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs11680126_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs1669778_T_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs1669778_T_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs1669778_T_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs1488496_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs1488496_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
rs1488496_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,104612344
