feature,coef,abs_coef,nonzero,target_name,repeat,split_seed
JHU_1.3296950_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.3296950_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.3296950_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.3324416_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.3324416_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.3324416_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.8017528_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.8017528_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.8017528_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.10227531_T_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.10227531_T_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.10227531_T_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.14589126_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.14589126_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.14589126_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.15427933_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.15427933_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.15427933_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.19066231_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.19066231_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.19066231_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.19101605_A_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.19101605_A_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.19101605_A_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.22343297_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.22343297_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.22343297_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs3131520_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs3131520_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs3131520_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.26718531_A_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.26718531_A_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.26718531_A_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.37000255_T_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.37000255_T_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.37000255_T_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.44877063_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.44877063_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.44877063_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.59392955_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.59392955_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.59392955_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.63381740_A_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.63381740_A_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.63381740_A_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.75135867_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.75135867_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.75135867_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
1-78956432-T-C_C_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
1-78956432-T-C_C_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
1-78956432-T-C_C_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs55993474_A_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs55993474_A_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs55993474_A_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.81987651_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.81987651_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
JHU_1.81987651_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs2375892_T_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs2375892_T_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs2375892_T_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs10881263_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs10881263_G_1,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs10881263_G_2,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
rs11102362_G_0,0.0,0.0,False,FILD or FILA ADJUDICATED,1,462275793
