target_name,model,feature,n_splits,mean_importance,median_importance,max_importance,empirical_q025,empirical_q975,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_max_ci_low,bootstrap_max_ci_high
FILD or FILA ADJUDICATED,genomic,JHU_1.3296950_C_0,10,0.007137862493228164,0.0021242649108774675,0.0404800722126096,0.0,0.03413516354502774,0.0011056261788564077,0.015872876595736104,0.0033083865960462,0.0404800722126096
FILD or FILA ADJUDICATED,genomic,JHU_1.3296950_C_1,10,0.017093611157391157,0.0050826029585203086,0.07304311614076937,0.0,0.06696228934266861,0.0047123773346790885,0.032828358172366796,0.017082397799871096,0.07304311614076937
FILD or FILA ADJUDICATED,genomic,JHU_1.3296950_C_2,10,0.010623159036341246,0.00011951188434235174,0.03741490156511292,0.0,0.036997769451082234,0.0011573344203704807,0.021385631311076358,0.0037004240868508394,0.03741490156511292
FILD or FILA ADJUDICATED,genomic,JHU_1.3324416_C_0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,genomic,JHU_1.3324416_C_1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,genomic,JHU_1.3324416_C_2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,genomic,JHU_1.8017528_C_0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FILD or FILA ADJUDICATED,genomic,JHU_1.8017528_C_1,10,0.007552185263192244,0.0010283800216607465,0.03949842792199667,0.0,0.03649459561465022,0.0007929824098343587,0.017399395852767046,0.005257396052454692,0.03949842792199667
FILD or FILA ADJUDICATED,genomic,JHU_1.8017528_C_2,10,0.004425463747610398,0.0020578508679812944,0.015477047659767268,0.0,0.015346412338494937,0.0012202448306347386,0.008423155118436334,0.003917028036771933,0.015477047659767268
FILD or FILA ADJUDICATED,genomic,JHU_1.10227531_T_0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
